Name,Link,Cuisine BERT,Cuisine Keywords,Keyword Score,BERT Score,Final Cuisine,Certainty,Final Score,Google Type Cuisine,Keyword Hits,Google Name,Rating,Total Ratings,Google Address,Place ID,Types,Price Level,Google Website,Phone Number,Opening Hours
FLFL,https://cas.haarlemtoday.nl/firm/flfl/,Indonesian,None,0,0.1864729524,Indonesian,LOW,0.1119,None,,FLFL Haarlem,4.8,244,"Botermarkt 29, 2011 XL Haarlem",ChIJQfJUnbfvxUcRwYFQsoqFMas,"restaurant, food, point_of_interest, establishment",,http://www.flfl.nl/,06 27025102,"Monday: 12:00 – 8:00 PM, Tuesday: 12:00 – 8:00 PM, Wednesday: 12:00 – 8:00 PM, Thursday: 12:00 – 8:00 PM, Friday: 12:00 – 8:00 PM, Saturday: 12:00 – 8:00 PM, Sunday: 12:00 – 8:00 PM"
By LIMA,https://cas.haarlemtoday.nl/firm/by-lima/,French,None,0,0.1706645936,French,LOW,0.1024,None,,by LIMA,4.5,1409,"Zijlstraat 65, 2011 TL Haarlem",ChIJk1gEXmvvxUcRwZmJAK8bS7k,"restaurant, food, point_of_interest, establishment",$$,http://www.by-lima.nl/,023 785 3564,"Monday: 8:00 AM – 5:00 PM, Tuesday: 8:00 AM – 5:00 PM, Wednesday: 8:00 AM – 5:00 PM, Thursday: 8:00 AM – 5:00 PM, Friday: 8:00 AM – 5:00 PM, Saturday: 8:00 AM – 5:00 PM, Sunday: 9:00 AM – 5:00 PM"
De slagersdochter,https://cas.haarlemtoday.nl/firm/de-slagersdochter/,German,None,0,0.1994411945,German,LOW,0.1197,None,,"Broekhof, De Slagersdochter",4.5,63,"Kruisstraat 4, 2011 PX Haarlem",ChIJlbyZxljvxUcRmtgqDzvo7z0,"meal_delivery, store, restaurant, food, point_of_interest, establishment",,http://www.deslagersdochter.nl/,06 28396191,"Monday: Closed, Tuesday: 9:00 AM – 6:00 PM, Wednesday: 9:00 AM – 6:00 PM, Thursday: 9:00 AM – 6:00 PM, Friday: 9:00 AM – 6:00 PM, Saturday: 8:00 AM – 5:00 PM, Sunday: Closed"
Friethoes (De Winkel),https://cas.haarlemtoday.nl/firm/friethoes-de-winkel/,French,None,0,0.3193996549,French,LOW,0.1916,None,,Friet Station,4.7,60,"Kruisweg 43, 2011 LA Haarlem",ChIJtZYLfGTvxUcRkTWQLFoPtSw,"meal_takeaway, restaurant, food, point_of_interest, establishment",,,06 85099409,"Monday: 12:00 – 8:00 PM, Tuesday: 12:00 – 8:00 PM, Wednesday: 12:00 – 8:00 PM, Thursday: 12:00 – 8:00 PM, Friday: 12:00 – 8:00 PM, Saturday: 12:00 – 8:00 PM, Sunday: 12:00 – 8:00 PM"
Rigatoni,https://cas.haarlemtoday.nl/firm/rigatoni-restaurant/,Italian,Italian (23),23,0.3645290136,Italian,LOW,0.2466,None,"pasta, tiramisu, spaghetti, ravioli, italian cuisine",Rigatoni,4.6,97,"Tempeliersstraat 31, 2012 EA Haarlem",ChIJCcW7AubvxUcRNeX7ebrLHhY,"restaurant, point_of_interest, food, establishment",,http://www.rigatoni.nl/,023 303 0129,"Monday: 5:00 – 10:00 PM, Tuesday: 5:00 – 10:00 PM, Wednesday: 5:00 – 10:00 PM, Thursday: 5:00 – 10:00 PM, Friday: 4:00 – 10:00 PM, Saturday: 4:00 – 10:00 PM, Sunday: 4:00 – 10:00 PM"
Adamo,https://cas.haarlemtoday.nl/firm/adamo/,Italian,Italian (22),22,0.3781050146,Italian,LOW,0.2535,None,"tiramisu, parmigiana, italian restaurant, authentic italian, italian food",Adamo Trattoria Enoteca,4.6,128,"Frankestraat 17-19, 2011 HT Haarlem",ChIJYYGxOVvvxUcR231aEKl6mTQ,"restaurant, food, point_of_interest, establishment",,https://www.adamohaarlem.nl/,023 532 2500,"Monday: Closed, Tuesday: 5:00 – 11:00 PM, Wednesday: 5:00 – 11:00 PM, Thursday: 5:00 – 11:00 PM, Friday: 5:00 – 11:00 PM, Saturday: 5:00 – 11:00 PM, Sunday: Closed"
Mano,https://cas.haarlemtoday.nl/firm/mano/,Italian,None,0,0.1803409457,Italian,LOW,0.1082,None,,Mano restaurant,4.9,201,"Bakenessergracht 109, 2011 JV Haarlem",ChIJJQw_DDLvxUcRASHkfUMntQ8,"restaurant, food, point_of_interest, establishment",,https://mano-restaurant.nl/,023 202 5931,"Monday: Closed, Tuesday: 6:00 PM – 12:00 AM, Wednesday: 6:00 PM – 12:00 AM, Thursday: 6:00 PM – 12:00 AM, Friday: 6:00 PM – 12:00 AM, Saturday: 6:00 PM – 12:00 AM, Sunday: Closed"
Club Cantina,https://cas.haarlemtoday.nl/firm/club-cantina/,Mexican,Mexican (12),12,0.2180943042,Mexican,LOW,0.1443,None,"nachos, cantina, authentic mexican",Club Cantina,4.6,221,"Korte Veerstraat 20, 2011 CL Haarlem",ChIJqW_b-H3vxUcRqXxAFxV4W-0,"restaurant, point_of_interest, food, establishment",,https://www.clubcantina.nl/,023 305 0088,"Monday: Closed, Tuesday: Closed, Wednesday: 4:00 – 11:00 PM, Thursday: 4:00 – 11:00 PM, Friday: 4:00 PM – 12:00 AM, Saturday: 4:00 PM – 12:00 AM, Sunday: 4:00 – 11:00 PM"
Kraantje Lek,https://cas.haarlemtoday.nl/firm/kraantje-lek/,Indonesian,None,0,0.2576736212,Indonesian,LOW,0.1546,None,,Kraantje Lek,4.2,1437,"Duinlustweg 22, 2051 AB Overveen",ChIJF0H-mOvuxUcRTuC776fQcYA,"restaurant, point_of_interest, food, establishment",$$,http://www.kraantjelek.nl/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=googlemybusiness,023 524 1266,"Monday: 9:00 AM – 5:00 PM, Tuesday: 9:00 AM – 5:00 PM, Wednesday: 9:00 AM – 10:00 PM, Thursday: 9:00 AM – 10:00 PM, Friday: 9:00 AM – 10:00 PM, Saturday: 9:00 AM – 12:00 AM, Sunday: 9:00 AM – 12:00 AM"
Nolita,https://cas.haarlemtoday.nl/firm/nolita/,Italian,Italian (10),10,0.3113587499,Italian,LOW,0.1989,None,"pizza, italy",Nolita Pizzabar,4.4,947,"Lange Veerstraat 17, 2011 DA Haarlem",ChIJdSQu12vvxUcRlxrIRDQe1SA,"restaurant, point_of_interest, food, establishment",$$,https://nolita.nl/,023 583 5128,"Monday: 5:00 – 10:00 PM, Tuesday: 5:00 – 10:00 PM, Wednesday: 5:00 – 10:00 PM, Thursday: 5:00 – 11:00 PM, Friday: 5:00 – 11:00 PM, Saturday: 4:00 – 11:00 PM, Sunday: 4:00 – 10:00 PM"
Restaurant Locael Centraal,https://cas.haarlemtoday.nl/firm/restaurant-locael-centraal/,German,None,0,0.2041097879,German,LOW,0.1225,None,,Locael Centraal,4.2,658,"Kennemerplein 6, 2011 MJ Haarlem",ChIJP8PvEHLvxUcRuVO_6mgSDgk,"restaurant, food, point_of_interest, establishment",$$,https://www.locael.nl/centraal,023 201 6044,"Monday: 8:00 AM – 12:00 AM, Tuesday: 8:00 AM – 12:00 AM, Wednesday: 8:00 AM – 12:00 AM, Thursday: 8:00 AM – 12:00 AM, Friday: 9:00 AM – 1:00 AM, Saturday: 10:00 AM – 1:00 AM, Sunday: 10:00 AM – 11:00 PM"
Restaurant Locael Bloemendaal,https://cas.haarlemtoday.nl/firm/locael-restaurant-bloemendaal/,French,French (3),3,0.2411139607,French,LOW,0.148,None,tartare,Locael Bloemendaal,3.9,575,"Bloemendaalseweg 141, 2061 CJ Bloemendaal",ChIJ8Wo-l6nvxUcRnZIzpf3wK0A,"restaurant, food, point_of_interest, establishment",$$,http://www.locael.nl/,023 574 6171,"Monday: 8:30 AM – 12:00 AM, Tuesday: 8:30 AM – 12:00 AM, Wednesday: 8:30 AM – 12:00 AM, Thursday: 8:30 AM – 12:00 AM, Friday: 8:30 AM – 12:00 AM, Saturday: 10:00 AM – 12:00 AM, Sunday: 10:00 AM – 12:00 AM"
Teds Haarlem,https://cas.haarlemtoday.nl/firm/teds-haarlem/,Thai,None,0,0.1315451562,Thai,LOW,0.0789,None,,Teds Haarlem – All Day Brunch,4.2,938,"Spaarne 94, 2011 CL Haarlem",ChIJefN87H3vxUcRQ7f5l5K7CYk,"meal_takeaway, cafe, bar, meal_delivery, restaurant, point_of_interest, food, establishment",$$,https://teds-place.nl/haarlem,023 207 2304,"Monday: 10:00 AM – 5:00 PM, Tuesday: 10:00 AM – 5:00 PM, Wednesday: 10:00 AM – 5:00 PM, Thursday: 10:00 AM – 5:00 PM, Friday: 10:00 AM – 5:00 PM, Saturday: 9:00 AM – 5:00 PM, Sunday: 9:00 AM – 5:00 PM"
Menu Corridor,https://cas.haarlemtoday.nl/firm/menu-corridor/,French,None,0,0.2559089661,French,LOW,0.1535,None,,Menu Corridor,4.4,103,"Harmenjansweg 4, 2031 WK Haarlem",ChIJr8--59rvxUcRJ_LzsQHZPjw,"restaurant, food, point_of_interest, establishment",,http://www.menucorridor.nl/,023 303 1100,"Monday: Closed, Tuesday: 4:00 – 10:30 PM, Wednesday: 4:00 – 10:30 PM, Thursday: 4:00 – 10:30 PM, Friday: 4:00 – 10:30 PM, Saturday: 1:00 – 10:30 PM, Sunday: 1:00 – 8:30 PM"
Café Colette,https://cas.haarlemtoday.nl/firm/cafe-colette/,French,French (8),8,0.2569502592,French,LOW,0.163,None,"crème brûlée, boeuf",Café Colette,4.4,453,"Oude Groenmarkt 22, 2011 HL Haarlem",ChIJpamixGvvxUcRQI6KFZTGnRw,"restaurant, food, point_of_interest, establishment",$$,https://cafecolette.nl/,023 532 9357,"Monday: 5:00 – 11:00 PM, Tuesday: 5:00 – 11:00 PM, Wednesday: 5:00 – 11:00 PM, Thursday: 5:00 – 11:00 PM, Friday: 5:00 – 11:00 PM, Saturday: 5:00 – 11:00 PM, Sunday: 4:00 – 10:00 PM"
Restaurant Metzo,https://cas.haarlemtoday.nl/firm/restaurant-metzo/,Italian,Italian (5),5,0.2368829697,Italian,LOW,0.1482,None,pasta,restaurant metzo,4.5,538,"Warmoesstraat 21, 2011 HN Haarlem",ChIJWfytt2vvxUcRsbDyYsfrxGo,"restaurant, food, point_of_interest, establishment",$$,http://metzo.nl/,023 532 2398,"Monday: 11:30 AM – 10:00 PM, Tuesday: 11:30 AM – 10:00 PM, Wednesday: 11:30 AM – 10:00 PM, Thursday: 11:30 AM – 10:00 PM, Friday: 11:30 AM – 10:00 PM, Saturday: 11:30 AM – 10:00 PM, Sunday: 11:30 AM – 9:00 PM"
Museumcafé Thuys,https://cas.haarlemtoday.nl/firm/museumcafe-thuys/,French,None,0,0.1890240908,French,LOW,0.1134,None,,Museumcafé Thuys,4.5,57,"Schotersingel 2, 2021 GE Haarlem",ChIJZbNcsnPvxUcR0jLZKqQsCKo,"restaurant, cafe, food, point_of_interest, establishment",,https://museumvandegeest.nl/bezoek/museumcafe/,023 541 0670,"Monday: Closed, Tuesday: Closed, Wednesday: 11:00 AM – 5:00 PM, Thursday: 11:00 AM – 5:00 PM, Friday: 11:00 AM – 5:00 PM, Saturday: 11:00 AM – 5:00 PM, Sunday: 11:00 AM – 5:00 PM"
Kus van de Cactus,https://cas.haarlemtoday.nl/firm/kus-van-de-cactus/,Spanish,Mexican (20),20,0.2244926393,Mexican,LOW,0.154,None,"taco, quesadilla, margarita, authentic mexican, cactus",Kus van de Cactus,4.5,370,"De Haasstraat 14, 2011 DW Haarlem",ChIJZyKUHJLvxUcRh393VZoiqsY,"restaurant, point_of_interest, food, establishment",,http://kusvandecactus.nl/,06 58858649,"Monday: Closed, Tuesday: Closed, Wednesday: 5:00 PM – 12:00 AM, Thursday: 5:00 PM – 12:00 AM, Friday: 3:00 PM – 12:00 AM, Saturday: 3:00 PM – 12:00 AM, Sunday: 3:00 PM – 12:00 AM"
The Harlem Social Club,https://cas.haarlemtoday.nl/firm/the-harlem-social-club/,French,None,0,0.179854542,French,LOW,0.1079,None,,THE HARLEM SOCIAL CLUB - Wine Bar & Kitchen,4.7,265,"Gedempte Oude Gracht 34, 2011 GS Haarlem",ChIJXSfTH2HvxUcR4uy2rleSmfE,"bar, point_of_interest, food, establishment",,https://theharlemsocialclub.com/public/the-harlem-socialclub.html,023 888 2308,"Monday: 4:00 – 11:00 PM, Tuesday: 4:00 – 11:00 PM, Wednesday: 4:00 – 11:00 PM, Thursday: 4:00 PM – 12:00 AM, Friday: 4:00 PM – 12:00 AM, Saturday: 2:00 PM – 12:00 AM, Sunday: 2:00 – 9:00 PM"
Frenchie Restaurant,https://cas.haarlemtoday.nl/firm/frenchie-restaurant/,French,None,0,0.3616210222,French,LOW,0.217,None,,Frenchie Restaurant,4.5,656,"Gedempte Oude Gracht 46, 2011 GS Haarlem",ChIJSeJ7M2vvxUcRRUUDJ06W2wg,"restaurant, lodging, food, point_of_interest, establishment",$$,http://www.frenchie.nl/,023 737 0618,"Monday: 11:00 AM – 6:00 PM, Tuesday: 11:00 AM – 11:00 PM, Wednesday: 11:00 AM – 11:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 10:00 AM – 12:30 AM, Saturday: 10:00 AM – 12:30 AM, Sunday: 10:00 AM – 6:00 PM"
Restaurant Fris,https://cas.haarlemtoday.nl/firm/restaurant-fris/,French,None,0,0.3711375594,French,LOW,0.2227,None,,Restaurant Fris - Haarlem,4.6,419,"Twijnderslaan 7, 2012 BG Haarlem",ChIJKdBrKUHvxUcRCjRxM9XTCc0,"restaurant, food, point_of_interest, establishment",$$$,https://restaurantfris.nl/,023 531 0717,"Monday: 12:00 – 2:00 PM, 6:00 – 10:00 PM, Tuesday: Closed, Wednesday: Closed, Thursday: 6:00 – 10:00 PM, Friday: 12:00 – 2:00 PM, 6:00 – 10:00 PM, Saturday: 12:00 – 2:00 PM, 6:00 – 10:00 PM, Sunday: 12:00 – 2:00 PM, 6:00 – 10:00 PM"
Friethuis La Petite,https://cas.haarlemtoday.nl/firm/friethuis-la-petite/,French,French (4),4,0.2338625789,French,LOW,0.1447,None,pâtisserie,Friethuis La Petite,4.7,359,"Warmoesstraat 3, 2011 HN Haarlem",ChIJGQGouWvvxUcRBuvNYVm9fGE,"restaurant, food, point_of_interest, establishment",,http://www.friethuislapetite.nl/,06 47586617,"Monday: Closed, Tuesday: 11:30 AM – 7:00 PM, Wednesday: 11:30 AM – 7:00 PM, Thursday: 11:30 AM – 8:00 PM, Friday: 11:30 AM – 7:00 PM, Saturday: 11:30 AM – 7:00 PM, Sunday: 11:30 AM – 7:00 PM"
Bambu Kitchen & Bar,https://cas.haarlemtoday.nl/firm/bambu-kitchen-bar/,Korean,None,0,0.1852635294,Korean,LOW,0.1112,None,,Bambu Haarlem,4.3,675,"Grote Markt 12, 2011 RD Haarlem",ChIJVVWBn2vvxUcRjtyy-qEx_mQ,"restaurant, lodging, food, point_of_interest, establishment",$$,http://www.bambukitchen.nl/,023 534 5484,"Monday: 10:30 AM – 10:00 PM, Tuesday: 10:30 AM – 10:00 PM, Wednesday: 10:30 AM – 10:00 PM, Thursday: 10:30 AM – 11:30 PM, Friday: 10:30 AM – 11:30 PM, Saturday: 10:30 AM – 11:30 PM, Sunday: 11:30 AM – 10:00 PM"
Republiek Bloemendaal,https://cas.haarlemtoday.nl/firm/republiek-bloemendaal/,Thai,None,0,0.2627280354,Thai,LOW,0.1576,None,,Strand restaurant Republiek Bloemendaal,3.8,1399,"Zeeweg 94, BLM 1, 2051 EC Overveen",ChIJwY6JQvzuxUcRvPGBuQQk2X4,"restaurant, bar, food, point_of_interest, establishment",$$,http://www.republiekbloemendaal.nl/,023 573 0730,"Monday: 9:00 AM – 11:00 PM, Tuesday: 9:00 AM – 11:00 PM, Wednesday: 9:00 AM – 11:00 PM, Thursday: 9:00 AM – 11:00 PM, Friday: 9:00 AM – 11:00 PM, Saturday: 9:00 AM – 11:00 PM, Sunday: 9:00 AM – 11:00 PM"
Five Brothers Fat,https://cas.haarlemtoday.nl/firm/five-brothers-fat/,Spanish,Spanish (27),27,0.2134143561,Spanish,LOW,0.1637,None,"tapas, patatas bravas, iberico, spanish cuisine, spanish, chorizo",Five Brothers Fat Haarlem,4.6,166,"Kleine Houtstraat 40, 2011 DN Haarlem",ChIJv8eudczvxUcRcI9fGRTrd1M,"restaurant, bar, food, point_of_interest, establishment",,http://www.fivebrothersfat.nl/,023 785 6784,"Monday: Closed, Tuesday: Closed, Wednesday: 5:00 PM – 1:00 AM, Thursday: 5:00 PM – 1:00 AM, Friday: 5:00 PM – 3:00 AM, Saturday: 5:00 PM – 3:00 AM, Sunday: 5:00 PM – 1:00 AM"
Bistrobar Indonesia,https://cas.haarlemtoday.nl/firm/bistrobar-indonesia/,Indonesian,None,0,0.2725955844,Indonesian,LOW,0.1636,None,,Bistrobar Indonesia,4.3,929,"Zijlstraat 49, 2011 PS Haarlem",ChIJAalwVWvvxUcRt6WWu5uBa5M,"restaurant, food, point_of_interest, establishment",$$,,,"Monday: Closed, Tuesday: 5:30 PM – 12:00 AM, Wednesday: 5:30 PM – 12:00 AM, Thursday: 5:30 PM – 12:00 AM, Friday: 5:30 PM – 1:00 AM, Saturday: 5:30 PM – 1:00 AM, Sunday: 5:30 PM – 12:00 AM"
Maita,https://cas.haarlemtoday.nl/firm/maita/,French,French (4),4,0.2321928442,French,LOW,0.1437,None,provence,MAITA Cocina Nikkei,4.4,390,"Lange Veerstraat 45, 2011 DA Haarlem",ChIJ_3A8TJLvxUcRBE5RTBxyzkk,"restaurant, point_of_interest, food, establishment",,http://www.maitarestaurant.com/,023 202 0746,"Monday: 5:30 PM – 1:00 AM, Tuesday: 5:30 PM – 1:00 AM, Wednesday: 5:30 PM – 1:00 AM, Thursday: 5:30 PM – 1:00 AM, Friday: 5:30 PM – 1:00 AM, Saturday: 5:30 PM – 1:00 AM, Sunday: 5:30 PM – 1:00 AM"
Olivers Haarlem,https://cas.haarlemtoday.nl/firm/olivers-haarlem/,French,None,0,0.2463647425,French,LOW,0.1478,None,,Olliver's Soulkitchen&Bar,4.7,200,"Spaarne 80, 2011 CL Haarlem",ChIJb2wT3y7vxUcRB8pAgG2m0GQ,"restaurant, point_of_interest, food, establishment",,http://www.ollivers.nl/,023 230 2095,"Monday: Closed, Tuesday: 11:00 AM – 11:00 PM, Wednesday: 11:00 AM – 11:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 10:00 AM – 11:00 PM, Sunday: 10:00 AM – 11:00 PM"
Houtbaar,https://cas.haarlemtoday.nl/firm/hout-bar/,Indonesian,None,0,0.1976326108,Indonesian,LOW,0.1186,None,,Houtbaar Haarlem,4.9,56,"Woudplein 2, 2031 CZ Haarlem",ChIJW9z1HBLlxUcRNHbosLqovEg,"point_of_interest, establishment",,http://www.houtbaarhaarlem.nl/,06 30915349,"Monday: Closed, Tuesday: Closed, Wednesday: Closed, Thursday: Closed, Friday: 5:00 PM – 1:00 AM, Saturday: Closed, Sunday: Closed"
kaldi,https://cas.haarlemtoday.nl/firm/kaldi/,Italian,None,0,0.2269323468,Italian,LOW,0.1362,None,,Kaldi Koffie & Thee Haarlem,4.7,102,"Generaal Cronjéstraat 24, 2021 JJ Haarlem",ChIJsd7ABkDvxUcRevv9shXSgKI,"cafe, point_of_interest, food, store, establishment",,https://kaldi.nl/kaldi-haarlem,06 38007582,"Monday: 8:00 AM – 5:00 PM, Tuesday: 8:00 AM – 5:00 PM, Wednesday: 8:00 AM – 5:00 PM, Thursday: 8:00 AM – 5:00 PM, Friday: 8:00 AM – 5:00 PM, Saturday: 8:00 AM – 5:00 PM, Sunday: 10:00 AM – 5:00 PM"
Pip Deli,https://cas.haarlemtoday.nl/firm/pip-deli/,Indonesian,None,0,0.198533088,Indonesian,LOW,0.1191,None,,PIP Deli,4.8,230,"Lorentzplein 2A, 2012 HG Haarlem",ChIJTxjri6bvxUcRQCSxMViyX4M,"restaurant, cafe, food, store, point_of_interest, establishment",,https://pipdeli.nl/,023 576 7395,"Monday: Closed, Tuesday: Closed, Wednesday: 8:30 AM – 10:30 PM, Thursday: 8:30 AM – 10:30 PM, Friday: 8:30 AM – 10:30 PM, Saturday: 9:00 AM – 10:30 PM, Sunday: 9:00 AM – 5:00 PM"
Red Orchids,https://cas.haarlemtoday.nl/firm/red-orchids/,Korean,Japanese (14),14,0.3211385608,Japanese,LOW,0.2015,None,"sushi, teriyaki, sashimi",Red Orchids Asian Bistro,4.5,258,"Zandvoortselaan 139, 2106 CM Heemstede",ChIJK146gCzvxUcR26WK0z55-mg,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",$$,http://www.redorchids.nl/,023 528 5285,"Monday: 3:00 – 9:30 PM, Tuesday: Closed, Wednesday: 3:00 – 9:30 PM, Thursday: 3:00 – 9:30 PM, Friday: 3:00 – 9:30 PM, Saturday: 3:00 – 9:30 PM, Sunday: 3:00 – 9:30 PM"
